experiment,figure,exists,what_it_explains,report_quality,missing_information,keep,regenerate,new_figure_needed
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch0.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch1.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch1890.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch1891.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch1892.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/train_batch2.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch0_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch0_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch1_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch1_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch2_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/val_batch2_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__10__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__10__25.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__32__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__32__2.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__42__0.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__47__3.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__47__4.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOCALIZATION_FAILURE__62__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__10.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__15.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__16.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__2.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__20.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__21.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__22.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/LOW_CONF_RECOVERABLE__10__23.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/NO_RESPONSE__440__0.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__47__0.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__47__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__62__3.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__62__4.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__70__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__90__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__92__1.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/WRONG_CLASS__92__2.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/exp03_fn_recovery_summary.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/exp03_threshold_f1.png,true,冻结阈值下的权衡或网格结果,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/exp03_threshold_precision_recall.png,true,冻结阈值下的权衡或网格结果,report_ready,由中文图索引补充讲解口径,true,false,false
exp03-low-conf,results/fast_repro/figures/exp03_low_conf/exp03_threshold_tp_fp_fn.png,true,冻结阈值下的权衡或网格结果,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/BoxF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/BoxPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/BoxP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/BoxR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/MaskF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/MaskPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/MaskP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/MaskR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/exp04_crack_multiclass_vs_oneclass.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/labels.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/results.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch0.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch1.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch1890.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch1891.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch1892.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/train_batch2.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch0_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch0_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch1_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch1_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch2_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp04-crack-oneclass,results/fast_repro/figures/exp04_crack_oneclass/val_batch2_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/BoxF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/BoxPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/BoxP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/BoxR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/MaskF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/MaskPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/MaskP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/MaskR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/exp05_control_vs_hard_mining_errors.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/exp05_control_vs_hard_mining_metrics.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/labels.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/results.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch0.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch1.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch2.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch420.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch421.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/train_batch422.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch0_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch0_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch1_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch1_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch2_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/comparison/val_batch2_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/BoxF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/BoxPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/BoxP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/BoxR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/MaskF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/MaskPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/MaskP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/MaskR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/labels.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/results.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch0.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch1.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch2.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch420.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch421.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/train_batch422.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch0_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch0_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch1_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch1_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch2_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/control/val_batch2_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/BoxF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/BoxPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/BoxP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/BoxR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/MaskF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/MaskPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/MaskP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/MaskR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/labels.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/results.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch0.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch1.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch2.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch420.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch421.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/train_batch422.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch0_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch0_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch1_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch1_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch2_labels.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp05-hard-mining,results/fast_repro/figures/exp05_hard_mining/treatment/val_batch2_pred.jpg,true,训练或评估过程的原始可视化证据,supporting,需要中文图注与上下文,true,false,false
exp06-roi-ce,results/fast_repro/figures/exp06_roi_ce/accuracy_macro_f1.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-roi-ce,results/fast_repro/figures/exp06_roi_ce/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-roi-ce,results/fast_repro/figures/exp06_roi_ce/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-roi-ce,results/fast_repro/figures/exp06_roi_ce/per_class_f1.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-roi-ce,results/fast_repro/figures/exp06_roi_ce/training_loss.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-supcon,results/fast_repro/figures/exp06_supcon/accuracy_macro_f1.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-supcon,results/fast_repro/figures/exp06_supcon/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-supcon,results/fast_repro/figures/exp06_supcon/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp06-supcon,results/fast_repro/figures/exp06_supcon/embedding_std.png,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
